service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MS,1,1,1,1,1,1,0,20140101,20141231
HOL,0,0,0,0,0,0,1,20140101,20141231
SUN,0,0,0,0,0,0,1,20140101,20141231
MF&HOL,1,1,1,1,1,0,0,20140101,20141231
SAT,0,0,0,0,0,1,0,20140101,20141231
MF,1,1,1,1,1,0,0,20140101,20141231
SH,0,0,0,0,0,0,1,20140101,20141231
AD,1,1,1,1,1,1,1,20140101,20141231
MS&SUN,1,1,1,1,1,1,1,20140101,20141231
SAT&SUN,0,0,0,0,0,1,1,20140101,20141231
MS&HOL,1,1,1,1,1,1,0,20140101,20141231
FW,1,1,1,1,1,1,1,20140101,20141231
SAT/SH,0,0,0,0,0,1,1,20140101,20141231
SAT&HOL,0,0,0,0,0,1,0,20140101,20141231
SAT &HOL,0,0,0,0,0,1,0,20140101,20141231
SAT&SH,0,0,0,0,0,1,1,20140101,20141231
SAT/SUND&HOL,0,0,0,0,0,1,1,20140101,20141231
S/H,0,0,0,0,0,0,1,20140101,20141231
"SAT,SUN&HOL",0,0,0,0,0,1,1,20140101,20141231
FH,0,0,0,0,1,0,0,20140101,20141231
