service_id,date,exception_type
HOL,20140815,1
HOL,20140818,1
HOL,20140820,1
HOL,20140919,1
HOL,20141002,1
HOL,20141024,1
HOL,20141113,1
HOL,20141114,1
HOL,20141026,1
HOL,20141128,1
HOL,20141125,1
MF&HOL,20140815,1
MF&HOL,20140818,1
MF&HOL,20140820,1
MF&HOL,20140919,1
MF&HOL,20141002,1
MF&HOL,20141024,1
MF&HOL,20141113,1
MF&HOL,20141114,1
MF&HOL,20141026,1
MF&HOL,20141128,1
MF&HOL,20141125,1
SH,20140815,1
SH,20140818,1
SH,20140820,1
SH,20140919,1
SH,20141002,1
SH,20141024,1
SH,20141113,1
SH,20141114,1
SH,20141026,1
SH,20141128,1
SH,20141125,1
AD,20140815,1
AD,20140818,1
AD,20140820,1
AD,20140919,1
AD,20141002,1
AD,20141024,1
AD,20141113,1
AD,20141114,1
AD,20141026,1
AD,20141128,1
AD,20141125,1
MS&HOL,20140815,1
MS&HOL,20140818,1
MS&HOL,20140820,1
MS&HOL,20140919,1
MS&HOL,20141002,1
MS&HOL,20141024,1
MS&HOL,20141113,1
MS&HOL,20141114,1
MS&HOL,20141026,1
MS&HOL,20141128,1
MS&HOL,20141125,1
SAT/SH,20140815,1
SAT/SH,20140818,1
SAT/SH,20140820,1
SAT/SH,20140919,1
SAT/SH,20141002,1
SAT/SH,20141024,1
SAT/SH,20141113,1
SAT/SH,20141114,1
SAT/SH,20141026,1
SAT/SH,20141128,1
SAT/SH,20141125,1
SAT&HOL,20140815,1
SAT&HOL,20140818,1
SAT&HOL,20140820,1
SAT&HOL,20140919,1
SAT&HOL,20141002,1
SAT&HOL,20141024,1
SAT&HOL,20141113,1
SAT&HOL,20141114,1
SAT&HOL,20141026,1
SAT&HOL,20141128,1
SAT&HOL,20141125,1
SAT&SH,20140815,1
SAT&SH,20140818,1
SAT&SH,20140820,1
SAT&SH,20140919,1
SAT&SH,20141002,1
SAT&SH,20141024,1
SAT&SH,20141113,1
SAT&SH,20141114,1
SAT&SH,20141026,1
SAT&SH,20141128,1
SAT&SH,20141125,1
SAT/SUND&HOL,20140815,1
SAT/SUND&HOL,20140818,1
SAT/SUND&HOL,20140820,1
SAT/SUND&HOL,20140919,1
SAT/SUND&HOL,20141002,1
SAT/SUND&HOL,20141024,1
SAT/SUND&HOL,20141113,1
SAT/SUND&HOL,20141114,1
SAT/SUND&HOL,20141026,1
SAT/SUND&HOL,20141128,1
SAT/SUND&HOL,20141125,1
S/H,20140815,1
S/H,20140818,1
S/H,20140820,1
S/H,20140919,1
S/H,20141002,1
S/H,20141024,1
S/H,20141113,1
S/H,20141114,1
S/H,20141026,1
S/H,20141128,1
S/H,20141125,1
"SAT,SUN&HOL",20140815,1
"SAT,SUN&HOL",20140818,1
"SAT,SUN&HOL",20140820,1
"SAT,SUN&HOL",20140919,1
"SAT,SUN&HOL",20141002,1
"SAT,SUN&HOL",20141024,1
"SAT,SUN&HOL",20141113,1
"SAT,SUN&HOL",20141114,1
"SAT,SUN&HOL",20141026,1
"SAT,SUN&HOL",20141128,1
"SAT,SUN&HOL",20141125,1
FH,20140815,1
FH,20140818,1
FH,20140820,1
FH,20140919,1
FH,20141002,1
FH,20141024,1
FH,20141113,1
FH,20141114,1
FH,20141026,1
FH,20141128,1
FH,20141125,1
